Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
CUST10001,Isha Patel,Female,17,Mumbai,2024-08-29,2025-08-18,7883.0,3.0,isha.patel0@gmail.com,9667466728,India
CUST10002,Aditi Gupta,Female,36,Delhi,2023-12-28,2025-08-18,11979.0,7.0,aditi.gupta1@gmail.com,9523291493,India
CUST10003,Meera Mishra,Male,27,Delhi,2018-08-05,2024-01-18,11324.0,2.0,meera.mishra2@gmail.com,9913116937,India
CUST10004,Amit Joshi,Male,3,Bangalore,2023-08-16,2025-02-25,9811.0,10.0,amit.joshi3@gmail.com,9218763668,India
CUST10005,Vivaan Agarwal,Male,26,Mumbai,2019-01-14,2024-04-23,12841.0,2.0,vivaan.agarwal4@gmail.com,9771048465,India
CUST10006,Isha Kumar,Male,4,Chennai,2024-03-26,2024-03-12,7541.0,7.0,isha.kumar5@gmail.com,9737136423,India
CUST10007,Aarav Kumar,Male,32,Delhi,2019-05-30,2026-01-27,16838.0,7.0,aarav.kumar6@gmail.com,9657348680,India
CUST10008,Priya Gupta,Female,28,Bangalore,2018-11-11,2025-10-28,11979.0,7.0,priya.gupta7@gmail.com,9777276524,India
CUST10009,Meera Singh,Female,28,Bangalore,2023-05-24,2024-02-21,11304.0,7.0,meera.singh8@gmail.com,9432367455,India
CUST10010,Nisha Yadav,Female,29,Kolkata,2023-09-15,2023-01-05,12533.0,6.0,nisha.yadav9@gmail.com,9105181171,India
CUST10011,Arjun Patel,Male,47,Mumbai,2020-09-21,2024-10-09,10791.0,2.0,arjun.patel10@gmail.com,9776121435,India
CUST10012,Aarav Mishra,Male,21,Kolkata,2021-09-28,2026-02-24,5106.0,7.0,aarav.mishra11@gmail.com,9551876610,India
CUST10013,Pooja Agarwal,Female,38,Delhi,2023-06-01,2026-01-25,8037.0,3.0,pooja.agarwal12@gmail.com,9870861745,India
CUST10014,Arjun Sharma,Male,34,Chennai,2023-11-03,2024-07-23,11979.0,3.0,arjun.sharma13@gmail.com,9316902093,India
CUST10015,Krishna Verma,Male,41,Kolkata,2020-11-13,2024-07-23,10589.0,9.0,krishna.verma14@gmail.com,9164342632,India
CUST10016,Krishna Kumar,Male,34,Chennai,2023-05-16,2025-10-29,11979.0,2.0,krishna.kumar15@gmail.com,9171121339,India
CUST10017,Vivaan Joshi,Male,3,Delhi,2023-06-10,2023-07-24,14241.0,6.0,vivaan.joshi16@gmail.com,9696859432,India
CUST10018,Amit Mishra,Male,29,Hyderabad,2023-06-06,2023-11-26,9761.0,4.0,amit.mishra17@gmail.com,9083752670,India
CUST10019,Aditi Singh,Female,32,Mumbai,2024-02-17,2023-06-21,8172.0,2.0,aditi.singh18@gmail.com,9698049800,India
CUST10020,Sneha Yadav,Female,35,Mumbai,2023-09-22,2024-12-07,11979.0,10.0,sneha.yadav19@gmail.com,9238458497,India
CUST10021,Vikram Sharma,Male,4,Kolkata,2021-01-23,2024-12-07,12757.0,7.0,vikram.sharma20@gmail.com,9146696804,India
CUST10022,Meera Patel,Female,31,Delhi,2020-02-27,2024-01-11,9514.0,5.0,meera.patel21@gmail.com,9349891916,India
CUST10023,Kavya Patel,Female,27,Bangalore,2024-10-01,2025-11-28,7432.0,9.0,kavya.patel22@gmail.com,9847889223,India
CUST10024,Rahul Gupta,Male,25,Chennai,2021-01-20,2024-09-04,9297.0,4.0,rahul.gupta23@gmail.com,9059134632,India
CUST10025,Isha Patel,Female,33,Kolkata,2024-05-21,2023-10-29,13568.0,4.0,isha.patel24@gmail.com,9865527606,India
CUST10026,Kavya Kumar,Female,24,Delhi,2024-10-28,2026-02-25,18747.0,1.0,kavya.kumar25@gmail.com,9910863701,India
CUST10027,Priya Kumar,Male,28,Bangalore,2018-02-08,2025-01-17,11152.0,8.0,priya.kumar26@gmail.com,9135223198,India
